key,targetType,targetId,districtGu,name,category,status,statusLabel,coordinateQuality,coordinateQualityReason,coordinateEvidenceSource,coordinateEvidenceDistanceM,note,lat,lng,fixedLat,fixedLng,fixedSource,fixedSourceUrl,kakaoUrlX,kakaoUrlY,sourceKey,placeId,ufid,sourceId,updatedAt,evidenceAction,evidencePrimarySource,kakaoStatus,kakaoPlaceName,kakaoDistanceM,poiStatus,poiName,poiDistanceM
facility:2794,facility,2794,,통일아시아드공원공중화장실,TOILET,KEEP,유지,CHECK,POI 근거 공중화장실 76.7m: 좌표는 근처지만 입구/정확 위치 확인 필요,POI,76.7,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:CHECK] POI 근거 공중화장실 76.7m: 좌표는 근처지만 입구/정확 위치 확인 필요 / 카카오=부산 다대2동 공영주차장 전기차충전소(124.5m); POI=공중화장실(76.7m),35.0595860,128.9800360,,,,,,,public_toilet:1318,2794,,public_toilet:1318,2026-04-27T16:09:24.750772+00:00,POI_ONLY_RECHECK,POI,KAKAO_WEAK,부산 다대2동 공영주차장 전기차충전소,124.5,MATCH_MEDIUM,공중화장실,76.7
facility:486,facility,486,,부산중부지사,PUBLIC_OFFICE,KEEP,유지,GOOD,KAKAO 근거 근로복지공단 부산중부지사 0.0m: 원본 좌표가 지도상 시설 근처,KAKAO,0.0,[지도/POI 1차판정] 카카오 지도 근거 확인 / [좌표품질:GOOD] KAKAO 근거 근로복지공단 부산중부지사 0.0m: 원본 좌표가 지도상 시설 근처 / 카카오=근로복지공단 부산중부지사(0.0m); POI=부산중부지사(0.0m),35.1604799,129.0618097,,,,,,,barrier_free_facility:3683,486,,barrier_free_facility:3683,2026-04-27T16:09:24.750772+00:00,KEEP,KAKAO,KAKAO_STRONG,근로복지공단 부산중부지사,0.0,MATCH_STRONG,부산중부지사,0.0
facility:2281,facility,2281,,개금2동주민센터,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 개금2동주민센터 2.0m,POI,2.0,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 개금2동주민센터 2.0m / 카카오=개금2동주민센터(1.0m); POI=개금2동주민센터(2.0m),35.1448415,129.0194759,,,,,,,public_toilet:534,2281,,public_toilet:534,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,개금2동주민센터,1.0,MATCH_STRONG,개금2동주민센터,2.0
facility:2305,facility,2305,,전포2동주민센터,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 전포2동주민센터 1.5m,POI,1.5,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 전포2동주민센터 1.5m / 카카오=전포2동 주민센터(1.7m); POI=전포2동주민센터(1.5m),35.1616888,129.0662004,,,,,,,public_toilet:570,2305,,public_toilet:570,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,전포2동 주민센터,1.7,MATCH_STRONG,전포2동주민센터,1.5
facility:2501,facility,2501,,한국산업인력공단 부산지역본부,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 한국산업인력공단부산지역본부 51.3m,POI,51.3,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 한국산업인력공단부산지역본부 51.3m / 카카오=한국산업인력공단 부산지역본부(52.0m); POI=한국산업인력공단부산지역본부(51.3m),35.2492100,129.0109170,,,,,,,public_toilet:899,2501,,public_toilet:899,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,한국산업인력공단 부산지역본부,52.0,MATCH_STRONG,한국산업인력공단부산지역본부,51.3
facility:2976,facility,2976,강서구,김해국제공항 국제선청사(확충),TOILET,KEEP,유지,BAD,POI 근거 김해공항국제선(2층)(버스정류장) 149.6m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,POI,149.6,[지도/POI 1차판정] 카카오 지도에서 상위 시설/공원 근거리 확인 / [좌표품질:BAD] POI 근거 김해공항국제선(2층)(버스정류장) 149.6m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / 카카오=에어부산 김해국제공항국제선청사점(90.4m); POI=김해공항국제선(2층)(버스정류장)(149.6m),35.1729000,128.9458000,,,,,,,public_toilet:1612,2976,,public_toilet:1612,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,에어부산 김해국제공항국제선청사점,90.4,MATCH_MEDIUM,김해공항국제선(2층)(버스정류장),149.6
facility:2919,facility,2919,강서구,삼성자동차동문(남),TOILET,KEEP,유지,BAD,POI 근거 공중화장실 92.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,POI,92.5,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] POI 근거 공중화장실 92.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / POI=공중화장실(92.5m),35.0925300,128.8875000,,,,,,,public_toilet:1530,2919,,public_toilet:1530,2026-04-27T16:09:24.750772+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,공중화장실,92.5
facility:2958,facility,2958,강서구,연결녹지4호1,TOILET,KEEP,유지,BAD,POI 근거 공중화장실 128.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,POI,128.5,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] POI 근거 공중화장실 128.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / POI=공중화장실(128.5m),35.0896500,128.9083000,,,,,,,public_toilet:1586,2958,,public_toilet:1586,2026-04-27T16:09:24.750772+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,공중화장실,128.5
facility:2940,facility,2940,강서구,울림공원(물놀이장),TOILET,KEEP,유지,BAD,KAKAO 근거 울림공원 공중화장실 329.1m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,KAKAO,329.1,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] KAKAO 근거 울림공원 공중화장실 329.1m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / 카카오=울림공원 공중화장실(329.1m); POI=울림공원(24.2m),35.1018400,128.9270000,,,,,,,public_toilet:1559,2940,,public_toilet:1559,2026-04-27T16:09:24.750772+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_WEAK,울림공원 공중화장실,329.1,MATCH_STRONG,울림공원,24.2
facility:2977,facility,2977,강서구,울림공원모래놀이터,TOILET,KEEP,유지,BAD,KAKAO 근거 울림공원 어린이놀이터 공중화장실 210.8m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,KAKAO,210.8,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] KAKAO 근거 울림공원 어린이놀이터 공중화장실 210.8m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / 카카오=울림공원 어린이놀이터 공중화장실(210.8m); POI=울림공원(23.4m),35.1018200,128.9271000,,,,,,,public_toilet:1613,2977,,public_toilet:1613,2026-04-27T16:09:24.750772+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_WEAK,울림공원 어린이놀이터 공중화장실,210.8,MATCH_STRONG,울림공원,23.4
