key,targetType,targetId,districtGu,name,category,status,statusLabel,coordinateQuality,coordinateQualityReason,coordinateEvidenceSource,coordinateEvidenceDistanceM,note,lat,lng,fixedLat,fixedLng,fixedSource,fixedSourceUrl,kakaoUrlX,kakaoUrlY,sourceKey,placeId,ufid,sourceId,updatedAt,evidenceAction,evidencePrimarySource,kakaoStatus,kakaoPlaceName,kakaoDistanceM,poiStatus,poiName,poiDistanceM
facility:2794,facility,2794,,통일아시아드공원공중화장실,TOILET,KEEP,유지,CHECK,POI 근거 공중화장실 76.7m: 좌표는 근처지만 입구/정확 위치 확인 필요,POI,76.7,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:CHECK] POI 근거 공중화장실 76.7m: 좌표는 근처지만 입구/정확 위치 확인 필요 / 카카오=부산 다대2동 공영주차장 전기차충전소(124.5m); POI=공중화장실(76.7m),35.0595860,128.9800360,,,,,,,public_toilet:1318,2794,,public_toilet:1318,2026-04-27T16:09:24.750772+00:00,POI_ONLY_RECHECK,POI,KAKAO_WEAK,부산 다대2동 공영주차장 전기차충전소,124.5,MATCH_MEDIUM,공중화장실,76.7
facility:2976,facility,2976,강서구,김해국제공항 국제선청사(확충),TOILET,KEEP,유지,BAD,POI 근거 김해공항국제선(2층)(버스정류장) 149.6m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,POI,149.6,[지도/POI 1차판정] 카카오 지도에서 상위 시설/공원 근거리 확인 / [좌표품질:BAD] POI 근거 김해공항국제선(2층)(버스정류장) 149.6m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / 카카오=에어부산 김해국제공항국제선청사점(90.4m); POI=김해공항국제선(2층)(버스정류장)(149.6m),35.1729000,128.9458000,,,,,,,public_toilet:1612,2976,,public_toilet:1612,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,에어부산 김해국제공항국제선청사점,90.4,MATCH_MEDIUM,김해공항국제선(2층)(버스정류장),149.6
facility:2919,facility,2919,강서구,삼성자동차동문(남),TOILET,KEEP,유지,BAD,POI 근거 공중화장실 92.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,POI,92.5,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] POI 근거 공중화장실 92.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / POI=공중화장실(92.5m),35.0925300,128.8875000,,,,,,,public_toilet:1530,2919,,public_toilet:1530,2026-04-27T16:09:24.750772+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,공중화장실,92.5
facility:2958,facility,2958,강서구,연결녹지4호1,TOILET,KEEP,유지,BAD,POI 근거 공중화장실 128.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,POI,128.5,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] POI 근거 공중화장실 128.5m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / POI=공중화장실(128.5m),35.0896500,128.9083000,,,,,,,public_toilet:1586,2958,,public_toilet:1586,2026-04-27T16:09:24.750772+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,공중화장실,128.5
facility:2940,facility,2940,강서구,울림공원(물놀이장),TOILET,KEEP,유지,BAD,KAKAO 근거 울림공원 공중화장실 329.1m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,KAKAO,329.1,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] KAKAO 근거 울림공원 공중화장실 329.1m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / 카카오=울림공원 공중화장실(329.1m); POI=울림공원(24.2m),35.1018400,128.9270000,,,,,,,public_toilet:1559,2940,,public_toilet:1559,2026-04-27T16:09:24.750772+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_WEAK,울림공원 공중화장실,329.1,MATCH_STRONG,울림공원,24.2
facility:2977,facility,2977,강서구,울림공원모래놀이터,TOILET,KEEP,유지,BAD,KAKAO 근거 울림공원 어린이놀이터 공중화장실 210.8m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요,KAKAO,210.8,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:BAD] KAKAO 근거 울림공원 어린이놀이터 공중화장실 210.8m: 원본 좌표와 지도 근거가 멀어 위치 보정 필요 / 카카오=울림공원 어린이놀이터 공중화장실(210.8m); POI=울림공원(23.4m),35.1018200,128.9271000,,,,,,,public_toilet:1613,2977,,public_toilet:1613,2026-04-27T16:09:24.750772+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_WEAK,울림공원 어린이놀이터 공중화장실,210.8,MATCH_STRONG,울림공원,23.4
facility:1307,facility,1307,강서구,부산광역시 차량등록사업소,PUBLIC_OFFICE,KEEP,유지,CHECK,KAKAO 근거 부산광역시 차량등록사업소 39.2m: 좌표는 근처지만 입구/정확 위치 확인 필요,KAKAO,39.2,[지도/POI 1차판정] POI 근거리 확인: 카테고리는 후순위 재확인 대상 / [좌표품질:CHECK] KAKAO 근거 부산광역시 차량등록사업소 39.2m: 좌표는 근처지만 입구/정확 위치 확인 필요 / 카카오=부산광역시 차량등록사업소(39.2m); POI=부산광역시차량등록사업소(7.3m),35.0873502,128.9031510,,,,,,,barrier_free_facility:9447,1307,,barrier_free_facility:9447,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,부산광역시 차량등록사업소,39.2,MATCH_STRONG,부산광역시차량등록사업소,7.3
facility:1372,facility,1372,강서구,대원양곱창,RESTAURANT,KEEP,유지,CHECK,POI 근거 대원양곱창 37.1m: 좌표는 근처지만 입구/정확 위치 확인 필요,POI,37.1,[지도/POI 1차판정] POI 근거리 확인 / [좌표품질:CHECK] POI 근거 대원양곱창 37.1m: 좌표는 근처지만 입구/정확 위치 확인 필요 / POI=대원양곱창(37.1m),35.0808602,128.8772138,,,,,,,barrier_free_facility:9814,1372,,barrier_free_facility:9814,2026-04-27T16:09:24.750772+00:00,POI_ONLY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_STRONG,대원양곱창,37.1
facility:1336,facility,1336,강서구,세우루브,RESTAURANT,KEEP,유지,CHECK,KAKAO 근거 세우루브 33.6m: 좌표는 근처지만 입구/정확 위치 확인 필요,KAKAO,33.6,[지도/POI 1차판정] POI 근거리 확인: 카테고리는 후순위 재확인 대상 / [좌표품질:CHECK] KAKAO 근거 세우루브 33.6m: 좌표는 근처지만 입구/정확 위치 확인 필요 / 카카오=세우루브(33.6m); POI=세우프라자(1.8m),35.1042228,128.8785383,,,,,,,barrier_free_facility:9634,1336,,barrier_free_facility:9634,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,세우루브,33.6,MATCH_STRONG,세우프라자,1.8
facility:1373,facility,1373,강서구,솔길마루,RESTAURANT,KEEP,유지,CHECK,POI 근거 더브레인호텔 32.0m: 좌표는 근처지만 입구/정확 위치 확인 필요,POI,32.0,[지도/POI 1차판정] POI 근거리 확인: 카테고리는 후순위 재확인 대상 / [좌표품질:CHECK] POI 근거 더브레인호텔 32.0m: 좌표는 근처지만 입구/정확 위치 확인 필요 / POI=더브레인호텔(32.0m),35.0817547,128.8719358,,,,,,,barrier_free_facility:9815,1373,,barrier_free_facility:9815,2026-04-27T16:09:24.750772+00:00,POI_ONLY_CATEGORY_RECHECK,POI,KAKAO_NO_RESULT,,,MATCH_MEDIUM,더브레인호텔,32.0
