key,targetType,targetId,districtGu,name,category,status,statusLabel,coordinateQuality,coordinateQualityReason,coordinateEvidenceSource,coordinateEvidenceDistanceM,note,lat,lng,fixedLat,fixedLng,fixedSource,fixedSourceUrl,kakaoUrlX,kakaoUrlY,sourceKey,placeId,ufid,sourceId,updatedAt,evidenceAction,evidencePrimarySource,kakaoStatus,kakaoPlaceName,kakaoDistanceM,poiStatus,poiName,poiDistanceM
facility:2281,facility,2281,,개금2동주민센터,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 개금2동주민센터 2.0m,POI,2.0,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 개금2동주민센터 2.0m / 카카오=개금2동주민센터(1.0m); POI=개금2동주민센터(2.0m),35.1448415,129.0194759,,,,,,,public_toilet:534,2281,,public_toilet:534,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,개금2동주민센터,1.0,MATCH_STRONG,개금2동주민센터,2.0
facility:2305,facility,2305,,전포2동주민센터,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 전포2동주민센터 1.5m,POI,1.5,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 전포2동주민센터 1.5m / 카카오=전포2동 주민센터(1.7m); POI=전포2동주민센터(1.5m),35.1616888,129.0662004,,,,,,,public_toilet:570,2305,,public_toilet:570,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,전포2동 주민센터,1.7,MATCH_STRONG,전포2동주민센터,1.5
facility:2501,facility,2501,,한국산업인력공단 부산지역본부,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 한국산업인력공단부산지역본부 51.3m,POI,51.3,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 한국산업인력공단부산지역본부 51.3m / 카카오=한국산업인력공단 부산지역본부(52.0m); POI=한국산업인력공단부산지역본부(51.3m),35.2492100,129.0109170,,,,,,,public_toilet:899,2501,,public_toilet:899,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,한국산업인력공단 부산지역본부,52.0,MATCH_STRONG,한국산업인력공단부산지역본부,51.3
facility:2990,facility,2990,강서구,가덕도동행정복지센터,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가덕도동행정복지센터 4.8m,POI,4.8,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가덕도동행정복지센터 4.8m / 카카오=가덕도동 행정복지센터(4.7m); POI=가덕도동행정복지센터(4.8m),35.0566596,128.8317344,,,,,,,public_toilet:1632,2990,,public_toilet:1632,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,가덕도동 행정복지센터,4.7,MATCH_STRONG,가덕도동행정복지센터,4.8
facility:2989,facility,2989,강서구,가덕도파출소,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가덕도파출소 1.7m,POI,1.7,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가덕도파출소 1.7m / 카카오=가덕도파출소(0.9m); POI=가덕도파출소(1.7m),35.0528800,128.8310000,,,,,,,public_toilet:1631,2989,,public_toilet:1631,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,가덕도파출소,0.9,MATCH_STRONG,가덕도파출소,1.7
facility:3015,facility,3015,강서구,가락동행정복지센터,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가락동행정복지센터 6.6m,POI,6.6,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가락동행정복지센터 6.6m / 카카오=가락동행정복지센터(9.6m); POI=가락동행정복지센터(6.6m),35.1964100,128.9017000,,,,,,,public_toilet:1670,3015,,public_toilet:1670,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,가락동행정복지센터,9.6,MATCH_STRONG,가락동행정복지센터,6.6
facility:2968,facility,2968,강서구,가락보건지소,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가락보건지소 1.9m,POI,1.9,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가락보건지소 1.9m / 카카오=가락보건지소(2.5m); POI=가락보건지소(1.9m),35.1962140,128.9016700,,,,,,,public_toilet:1600,2968,,public_toilet:1600,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,가락보건지소,2.5,MATCH_STRONG,가락보건지소,1.9
facility:2930,facility,2930,강서구,가락영업소,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 한국도로공사가락영업소 18.5m,POI,18.5,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 한국도로공사가락영업소 18.5m / 카카오=한국도로공사서비스 가락영업소(3.1m); POI=한국도로공사가락영업소(18.5m),35.1682140,128.8945440,,,,,,,public_toilet:1546,2930,,public_toilet:1546,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,한국도로공사서비스 가락영업소,3.1,MATCH_STRONG,한국도로공사가락영업소,18.5
facility:2983,facility,2983,강서구,가락파출소,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가락파출소 5.4m,POI,5.4,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 가락파출소 5.4m / 카카오=가락파출소(5.0m); POI=가락파출소(5.4m),35.1949500,128.9021000,,,,,,,public_toilet:1623,2983,,public_toilet:1623,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,가락파출소,5.0,MATCH_STRONG,가락파출소,5.4
facility:3006,facility,3006,강서구,강동동행정복지센터,TOILET,KEEP,유지,INTERNAL,건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 강동동행정복지센터 8.9m,POI,8.9,[지도/POI 1차판정] 공중화장실/시설 POI 근거리 확인 / [좌표품질:INTERNAL] 건물/시설 내부 편의시설이라 지도 좌표만으로 접근 가능한 입구를 확정할 수 없음; POI 근거 강동동행정복지센터 8.9m / 카카오=강동동행정복지센터(12.8m); POI=강동동행정복지센터(8.9m),35.2146300,128.9353000,,,,,,,public_toilet:1659,3006,,public_toilet:1659,2026-04-27T16:09:24.750772+00:00,CATEGORY_REVIEW,KAKAO,KAKAO_STRONG,강동동행정복지센터,12.8,MATCH_STRONG,강동동행정복지센터,8.9
